Customer_ID,Total_Revenue,Total_Orders,Total_Items,Avg_Order_Value,Unique_Products,Last_Purchase,Recency
12346.0,77556.46,12,74285,2281.0723529411766,27,2011-01-18 10:01:00,325
12347.0,4921.53,8,2967,22.169054054054055,126,2011-12-07 15:52:00,1
12348.0,2019.3999999999999,5,2714,39.59607843137255,25,2011-09-25 13:13:00,74
12349.0,4428.6900000000005,4,1624,25.306800000000003,138,2011-11-21 09:51:00,18
12350.0,334.40000000000003,1,197,19.67058823529412,17,2011-02-02 16:01:00,309
12351.0,300.93,1,261,14.33,21,2010-11-29 15:23:00,374
12352.0,2849.84,10,724,27.668349514563108,70,2011-11-03 14:37:00,35
12353.0,406.76,2,212,16.948333333333334,23,2011-05-19 17:47:00,203
12354.0,1079.4,1,530,18.610344827586207,58,2011-04-21 13:11:00,231
12355.0,947.61,2,543,27.074571428571428,35,2011-05-09 13:49:00,213
12356.0,6371.7300000000005,6,3416,44.87133802816902,104,2011-11-17 08:40:00,22
12357.0,18287.66,3,6587,61.78263513513514,261,2011-11-06 16:07:00,32
12358.0,3887.07,5,1079,50.48142857142857,56,2011-12-08 10:26:00,1
12359.0,8873.39,10,2739,24.5121270718232,305,2011-10-13 12:47:00,57
12360.0,4252.89,8,2459,19.59857142857143,160,2011-10-18 15:22:00,51
12361.0,511.25,4,235,17.629310344827587,18,2011-02-25 13:51:00,286
12362.0,5356.2300000000005,11,2230,20.060786516853934,201,2011-12-06 15:40:00,2
12363.0,552.0,2,408,24.0,23,2011-08-22 10:18:00,109
12364.0,1313.1,4,1506,15.448235294117646,70,2011-12-02 10:22:00,7
12365.0,641.38,2,174,29.153636363636362,22,2011-02-21 14:04:00,290
12366.0,500.24,1,296,166.74666666666667,3,2010-03-16 10:28:00,633
12367.0,168.9,1,173,15.354545454545455,11,2011-12-05 16:48:00,3
12368.0,917.7,1,330,50.983333333333334,18,2010-03-21 15:56:00,627
12369.0,1791.15,3,1241,19.25967741935484,90,2010-10-22 13:13:00,412
12370.0,4316.56,7,2604,21.47542288557214,168,2011-10-19 14:51:00,50
12371.0,4067.38,5,1436,24.35556886227545,134,2011-10-26 10:16:00,44
12372.0,1298.04,3,794,24.962307692307693,34,2011-09-29 12:12:00,71
12373.0,1127.65,3,516,22.110784313725492,36,2011-02-01 13:10:00,310
12374.0,2989.2200000000003,4,1362,36.01469879518073,79,2011-11-14 15:37:00,24
12375.0,457.5,2,178,26.91176470588235,14,2011-11-29 10:36:00,10
12376.0,503.15,2,240,38.70384615384615,11,2010-11-15 12:15:00,389
12377.0,3426.32,4,2105,22.54157894736842,129,2011-01-28 15:45:00,314
12378.0,5416.32,2,3316,17.994418604651162,281,2011-08-02 10:34:00,129
12379.0,1620.22,4,815,20.002716049382716,58,2011-09-19 10:09:00,81
12380.0,9676.300000000001,11,3355,34.93249097472925,156,2011-11-18 11:27:00,21
12381.0,1845.31,5,808,21.21045977011494,70,2011-12-05 12:44:00,4
12383.0,1850.56,5,1532,18.69252525252525,84,2011-06-08 08:02:00,184
12384.0,585.27,2,126,21.676666666666666,26,2011-11-11 08:39:00,28
12385.0,1938.4,1,612,29.821538461538463,65,2010-11-25 15:14:00,378
12386.0,401.9,2,354,40.19,10,2011-01-06 12:37:00,337
12387.0,143.94,1,134,15.993333333333332,9,2010-10-20 16:27:00,414
12388.0,3901.11,8,2001,26.719931506849317,83,2011-11-24 12:30:00,15
12389.0,1433.33,3,614,29.251632653061222,41,2010-11-02 11:52:00,402
12390.0,549.84,1,353,17.1825,32,2011-09-21 09:33:00,79
12391.0,2724.84,6,1204,10.205393258426966,241,2011-11-18 12:07:00,21
12392.0,234.75000000000003,1,73,33.53571428571429,7,2010-04-27 14:04:00,590
12393.0,2399.45,6,1311,22.424766355140186,63,2011-09-28 15:41:00,71
12394.0,1272.48,2,819,47.12888888888889,26,2011-10-07 08:08:00,63
12395.0,4721.17,15,3205,19.50896694214876,145,2011-11-20 15:21:00,18
12396.0,931.4300000000001,1,591,14.329692307692309,65,2010-02-03 13:22:00,673
12397.0,2409.9,2,1263,19.126190476190477,110,2011-11-04 09:52:00,35
12398.0,1635.6599999999999,1,1394,19.24305882352941,85,2011-10-25 10:27:00,45
12399.0,1962.3,7,2198,17.83909090909091,67,2011-08-12 13:15:00,118
12400.0,205.25,1,91,18.65909090909091,11,2010-10-21 13:45:00,413
12401.0,84.3,1,11,16.86,5,2011-02-09 13:50:00,302
12402.0,1256.9,6,584,17.955714285714286,43,2011-01-20 13:49:00,322
12403.0,1019.36,2,260,113.26222222222222,5,2011-10-21 10:51:00,49
12404.0,63.24,1,1,63.24,1,2010-01-26 16:25:00,681
12405.0,1710.39,1,857,31.67388888888889,54,2011-07-14 08:52:00,148
12406.0,6390.36,5,3416,38.49614457831325,114,2011-11-17 19:22:00,21
12407.0,1708.12,5,1416,22.18337662337662,57,2011-10-21 10:11:00,49
